property_type,area_type,availability,location,size,area,bath,balcony,price_per_sqft,price
flat,Super built-up  Area,18-Jun,Malleshwaram,2,1100.0,2,2,6818.0,0.75
house,Plot  Area,Ready To Move,Hennur Road,2,276.0,3,3,8333.0,0.23
flat,Super built-up  Area,Ready To Move,Thanisandra,3,1427.0,3,2,8409.0,1.2
flat,Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061.0,3,1,9704.0,2.0
flat,Super built-up  Area,18-Mar,Hebbal,4,5611.5,4,0,8500.0,4.77
flat,Built-up  Area,Ready To Move,Shampura,4,2650.0,4,2,5660.0,1.5
flat,Super built-up  Area,22-Dec,Devanahalli,3,1282.0,2,2,5382.0,0.69
flat,Built-up  Area,Ready To Move,Kadugodi,2,1050.0,2,1,3238.0,0.34
flat,Built-up  Area,Ready To Move,LB Shastri Nagar,3,1600.0,3,2,4062.0,0.65
flat,Super built-up  Area,22-Jan,other,2,945.0,2,1,5714.0,0.54
flat,Super built-up  Area,Ready To Move,Hormavu,2,1500.0,2,1,5200.0,0.78
house,Plot  Area,Ready To Move,Vishwapriya Layout,7,950.0,7,0,12105.0,1.15
flat,Built-up  Area,Ready To Move,other,3,1870.0,3,3,5882.0,1.1
house,Plot  Area,Ready To Move,Sarjapur,3,1600.0,3,1,4688.0,0.75
flat,Super built-up  Area,Ready To Move,Electronic City,2,880.0,1,1,1818.0,0.16
house,Plot  Area,Ready To Move,other,4,1200.0,4,0,17500.0,2.1
flat,Super built-up  Area,Ready To Move,Kudlu Gate,3,1535.0,3,2,5407.0,0.83
flat,Built-up  Area,Ready To Move,Kanakpura Road,2,950.0,2,1,6000.0,0.57
flat,Super built-up  Area,18-Aug,Devanahalli,2,1360.0,2,1,4779.0,0.65
flat,Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1073.5,2,0,5030.0,0.54
flat,Super built-up  Area,18-May,Bommasandra Industrial Area,3,1280.0,3,1,3906.0,0.5
flat,Super built-up  Area,19-Jan,other,3,1260.0,2,2,6746.0,0.85
flat,Super built-up  Area,19-Dec,Yelahanka,5,3050.0,5,1,6984.0,2.13
flat,Super built-up  Area,Ready To Move,Kasavanhalli,3,1563.0,3,1,6718.0,1.05
flat,Super built-up  Area,Ready To Move,ISRO Layout,2,1000.0,2,1,6000.0,0.6
flat,Super built-up  Area,17-Jul,Anandapura,2,1167.0,2,1,3770.0,0.44
flat,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,4000.0,7,2,5625.0,2.25
flat,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,890.0,2,1,3933.0,0.35
flat,Super built-up  Area,Ready To Move,other,3,1612.0,3,3,2916.0,0.47
flat,Super built-up  Area,19-Apr,Mysore Road,3,1710.0,4,2,5322.0,0.91
flat,Super built-up  Area,Ready To Move,Kannamangala,2,957.0,2,1,6061.0,0.58
flat,Super built-up  Area,18-May, Devarachikkanahalli,3,1250.0,2,3,3520.0,0.44
flat,Super built-up  Area,Ready To Move,Hulimavu,2,1125.0,2,2,4444.0,0.5
flat,Super built-up  Area,18-Jul,Electronic City Phase II,2,1020.0,2,1,3039.0,0.31
flat,Super built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2,2,4167.0,0.5
flat,Super built-up  Area,Ready To Move,Thanisandra,3,1735.0,3,3,7781.0,1.35
flat,Super built-up  Area,Ready To Move,Thanisandra,3,2050.0,3,1,7073.0,1.45
house,Plot  Area,Ready To Move,Mahalakshmi Layout,4,3750.0,4,0,20267.0,7.6
flat,Built-up  Area,Ready To Move,other,3,1350.0,2,3,3556.0,0.48
flat,Super built-up  Area,18-May,Hosa Road,2,1063.0,2,1,3010.0,0.32
flat,Super built-up  Area,Ready To Move,other,3,1904.0,3,1,7878.0,1.5
flat,Built-up  Area,Ready To Move,Whitefield,4,4200.0,4,2,10000.0,4.2
flat,Super built-up  Area,Ready To Move,other,3,2000.0,3,1,8750.0,1.75
flat,Super built-up  Area,18-Dec,Sarjapur,2,1242.5,2,0,3461.0,0.43
flat,Super built-up  Area,Ready To Move,other,3,1425.0,2,2,5263.0,0.75
flat,Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2,1,4267.0,0.64
flat,Built-up  Area,Ready To Move,Electronic City,2,1060.0,2,1,5660.0,0.6
flat,Built-up  Area,Ready To Move,other,3,1470.0,2,2,4762.0,0.7
flat,Super built-up  Area,Ready To Move,other,6,1300.0,6,0,7615.0,0.99
flat,Super built-up  Area,Ready To Move,Attibele,1,450.0,1,1,2444.0,0.11
flat,Super built-up  Area,18-Apr,Electronic City,2,1152.0,2,1,5556.0,0.64
flat,Super built-up  Area,Ready To Move,Electronic City,3,1350.0,2,1,4148.0,0.56
flat,Super built-up  Area,Ready To Move,CV Raman Nagar,3,1550.0,3,3,4194.0,0.65
house,Plot  Area,Ready To Move,other,3,1500.0,3,2,6667.0,1.0
house,Plot  Area,Ready To Move,Kumaraswami Layout,5,600.0,3,2,14167.0,0.85
house,Plot  Area,Ready To Move,Nagavara,1,400.0,1,0,3500.0,0.14
flat,Super built-up  Area,Ready To Move,Malleshwaram,1,705.0,1,2,9504.0,0.67
flat,Built-up  Area,Ready To Move,Electronic City,2,770.0,1,1,4675.0,0.36
flat,Super built-up  Area,Ready To Move,Hulimavu,2,1242.0,2,3,4106.0,0.51
flat,Super built-up  Area,Ready To Move,Hebbal Kempapura,3,1700.0,3,2,9118.0,1.55
flat,Super built-up  Area,Ready To Move,Thanisandra,3,2144.0,3,2,6763.0,1.45
flat,Super built-up  Area,21-Jun,Vijayanagar,3,1704.0,3,2,6455.0,1.1
flat,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2,1,4860.0,0.52
house,Plot  Area,Ready To Move,other,3,1846.0,3,2,16251.0,3.0
flat,Super built-up  Area,Ready To Move,other,2,1340.0,2,2,4179.0,0.56
flat,Built-up  Area,Ready To Move,Electronic City,2,1025.0,2,1,4488.0,0.46
flat,Super built-up  Area,Ready To Move,KR Puram,2,1277.5,2,0,4462.0,0.57
flat,Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2,2,4333.0,0.52
flat,Built-up  Area,18-Dec,Kanakpura Road,4,2250.0,4,1,4889.0,1.1
flat,Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1550.0,2,3,5161.0,0.8
house,Plot  Area,Ready To Move,other,7,1800.0,7,1,13889.0,2.5
flat,Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2,2,5000.0,0.6
flat,Super built-up  Area,Ready To Move,Yelahanka,2,1327.0,2,2,7385.0,0.98
flat,Super built-up  Area,Ready To Move,Kothanur,2,1186.0,2,2,4890.0,0.58
flat,Built-up  Area,Ready To Move,other,3,1783.0,3,1,6450.0,1.15
flat,Super built-up  Area,Ready To Move,HSR Layout,3,1400.0,3,2,4000.0,0.56
flat,Super built-up  Area,Ready To Move,Nagasandra,2,980.0,2,1,4898.0,0.48
flat,Super built-up  Area,Ready To Move,EPIP Zone,2,1285.0,2,2,6381.0,0.82
flat,Super built-up  Area,Ready To Move,other,3,912.0,2,1,7675.0,0.7
flat,Built-up  Area,Ready To Move,Whitefield,2,1225.0,2,2,3918.0,0.48
flat,Super built-up  Area,Ready To Move,Whitefield,2,1075.0,2,1,4930.0,0.53
flat,Built-up  Area,Ready To Move,Kadugodi,3,1260.0,2,2,4286.0,0.54
flat,Super built-up  Area,Ready To Move,Yelahanka,3,1282.0,2,2,3822.0,0.49
flat,Super built-up  Area,Ready To Move,Kogilu,3,1909.0,3,2,4610.0,0.88
flat,Super built-up  Area,Ready To Move,Panathur,2,1359.0,2,1,6402.0,0.87
flat,Built-up  Area,Ready To Move,other,2,1207.0,2,2,3645.0,0.44
house,Plot  Area,Ready To Move,Padmanabhanagar,4,1736.0,6,0,10945.0,1.9
flat,Super built-up  Area,20-May,1st Block Jayanagar,4,2850.0,4,1,15018.0,4.28
flat,Super built-up  Area,Ready To Move,Kammasandra,3,1595.0,3,2,4075.0,0.65
flat,Built-up  Area,18-Jun,other,3,1798.0,3,2,4950.0,0.89
flat,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1475.0,3,2,5288.0,0.78
flat,Super built-up  Area,Ready To Move,other,3,1580.0,3,3,6329.0,1.0
flat,Super built-up  Area,Ready To Move,Dasarahalli,2,1295.0,2,1,5019.0,0.65
flat,Built-up  Area,Ready To Move,Magadi Road,6,3600.0,6,0,3917.0,1.41
flat,Super built-up  Area,Ready To Move,Electronic City,1,589.0,1,1,4584.0,0.27
flat,Super built-up  Area,Ready To Move,other,3,1415.0,3,3,5512.0,0.78
flat,Super built-up  Area,18-Dec,Sarjapur  Road,3,1787.0,3,2,5484.0,0.98
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,3,1787.0,3,2,6995.0,1.25
flat,Super built-up  Area,Ready To Move,Koramangala,3,1475.0,2,3,6102.0,0.9
flat,Built-up  Area,Ready To Move,other,4,2000.0,4,1,3800.0,0.76
flat,Super built-up  Area,19-Mar,Sarjapur  Road,2,984.0,2,1,4472.0,0.44
flat,Super built-up  Area,Ready To Move,other,3,2405.0,4,2,10811.0,2.6
flat,Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1080.0,2,2,6667.0,0.72
house,Plot  Area,Ready To Move,other,2,1500.0,2,1,7667.0,1.15
flat,Super built-up  Area,Ready To Move,Hebbal,3,1900.0,3,2,6263.0,1.19
flat,Super built-up  Area,19-Aug,Dommasandra,2,805.0,2,1,2733.0,0.22
flat,Super built-up  Area,Ready To Move,Budigere,2,1153.0,2,2,4857.0,0.56
flat,Super built-up  Area,Ready To Move,other,2,1148.0,2,2,5226.0,0.6
flat,Super built-up  Area,Ready To Move,other,2,1110.0,2,2,4955.0,0.55
flat,Built-up  Area,Ready To Move,Electronic City,2,1100.0,2,2,3818.0,0.42
flat,Super built-up  Area,Ready To Move,Kalyan nagar,2,1290.0,2,2,8527.0,1.1
flat,Super built-up  Area,Ready To Move,other,3,1500.0,2,1,4333.0,0.65
flat,Super built-up  Area,18-Apr,other,2,1080.0,2,2,3611.0,0.39
flat,Super built-up  Area,21-Jun,Vijayanagar,3,1933.0,3,1,6674.0,1.29
flat,Built-up  Area,Ready To Move,Ramamurthy Nagar,5,3500.0,5,2,4286.0,1.5
flat,Built-up  Area,Ready To Move,other,2,1060.0,2,2,5660.0,0.6
flat,Super built-up  Area,18-Aug,Chandapura,1,645.0,1,1,2481.0,0.16
house,Plot  Area,Ready To Move,other,8,2600.0,8,2,6923.0,1.8
flat,Super built-up  Area,18-Sep,Chandapura,1,645.0,1,1,2481.0,0.16
flat,Super built-up  Area,Ready To Move,other,3,1644.0,3,3,5109.0,0.84
flat,Super built-up  Area,Ready To Move,other,2,1285.0,2,3,5603.0,0.72
house,Plot  Area,Ready To Move,Electronic City,3,1200.0,3,1,7500.0,0.9
flat,Super built-up  Area,Ready To Move,Electronic City,2,910.0,2,1,4396.0,0.4
flat,Super built-up  Area,Ready To Move,Kothanur,3,1577.0,3,1,4439.0,0.7
house,Plot  Area,17-May,other,3,4050.0,3,2,6914.0,2.8
flat,Super built-up  Area,Ready To Move,OMBR Layout,3,2420.0,3,2,7645.0,1.85
flat,Super built-up  Area,Ready To Move,Chandapura,2,800.0,1,1,2500.0,0.2
flat,Built-up  Area,Ready To Move,other,2,1060.0,2,2,5189.0,0.55
flat,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1270.0,2,2,7323.0,0.93
flat,Super built-up  Area,18-Jun,other,2,900.0,2,2,2444.0,0.22
flat,Built-up  Area,Ready To Move,other,2,1280.0,2,1,5391.0,0.69
house,Plot  Area,Ready To Move,Horamavu Agara,4,1200.0,2,0,7917.0,0.95
flat,Built-up  Area,Ready To Move,Sarjapur  Road,2,1025.0,2,2,3512.0,0.36
flat,Super built-up  Area,17-Jun,Electronic City,2,1108.0,2,1,5686.0,0.63
flat,Super built-up  Area,Ready To Move,other,3,3045.0,3,2,5583.0,1.7
house,Plot  Area,Ready To Move,Ambedkar Nagar,4,2900.0,3,2,10345.0,3.0
flat,Super built-up  Area,Ready To Move,Vijayanagar,3,1500.0,3,2,5067.0,0.76
flat,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295.0,2,2,3398.0,0.44
flat,Super built-up  Area,Ready To Move,Budigere,2,1162.0,2,1,5164.0,0.6
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,2,1035.0,2,2,4734.0,0.49
flat,Built-up  Area,Ready To Move,Attibele,4,1600.0,4,0,3312.0,0.53
flat,Super built-up  Area,Ready To Move,other,3,1464.0,3,2,3142.0,0.46
flat,Super built-up  Area,18-Oct,Hennur Road,3,1866.0,2,2,3323.0,0.62
flat,Super built-up  Area,Ready To Move,other,2,700.0,1,1,3714.0,0.26
flat,Super built-up  Area,Ready To Move,Kalena Agrahara,3,1804.0,3,2,6652.0,1.2
flat,Super built-up  Area,Ready To Move,Sarjapur,2,913.0,2,1,3505.0,0.32
flat,Super built-up  Area,21-Dec,Talaghattapura,3,1868.0,3,2,7013.0,1.31
flat,Built-up  Area,Ready To Move,Kengeri Satellite Town,2,883.0,2,1,5096.0,0.45
house,Plot  Area,Ready To Move,other,2,900.0,2,1,12222.0,1.1
flat,Super built-up  Area,Ready To Move,Kogilu,3,1664.0,2,3,4447.0,0.74
flat,Super built-up  Area,Ready To Move,Hegde Nagar,3,2026.0,3,2,6515.0,1.32
flat,Super built-up  Area,Ready To Move,Balagere,2,1210.0,2,1,6694.0,0.81
house,Plot  Area,Ready To Move,other,4,4111.0,4,2,6081.0,2.5
flat,Super built-up  Area,Ready To Move,Kadugodi,3,1762.0,3,3,5165.0,0.91
flat,Super built-up  Area,Ready To Move,Jigani,3,1252.0,3,3,4393.0,0.55
flat,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,861.0,2,1,3949.0,0.34
flat,Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1420.0,2,1,7042.0,1.0
house,Plot  Area,Ready To Move,other,6,1450.0,6,0,17241.0,2.5
flat,Built-up  Area,Ready To Move,Electronics City Phase 1,3,1490.0,3,1,5302.0,0.79
flat,Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2,1,4279.0,0.46
flat,Super built-up  Area,18-Aug,Old Madras Road,3,1425.0,2,2,6596.0,0.94
flat,Built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2,1,3333.0,0.4
flat,Super built-up  Area,Ready To Move,Kaggadasapura,3,1280.0,2,2,4375.0,0.56
flat,Super built-up  Area,Ready To Move,other,2,1084.0,2,2,4613.0,0.5
flat,Super built-up  Area,18-Jul,Chandapura,2,1015.0,2,2,2562.0,0.26
flat,Super built-up  Area,21-May,Kanakpura Road,2,1017.0,2,1,5015.0,0.51
flat,Super built-up  Area,Ready To Move,Haralur Road,2,1027.0,2,2,4284.0,0.44
flat,Super built-up  Area,Ready To Move,Electronic City Phase II,2,1069.0,2,2,4210.0,0.45
flat,Super built-up  Area,Ready To Move,Hebbal,2,1349.0,2,1,7265.0,0.98
flat,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1005.0,2,1,4975.0,0.5
flat,Super built-up  Area,Ready To Move,Jakkur,2,1417.0,2,3,5293.0,0.75
house,Plot  Area,18-Jan,TC Palaya,3,1475.0,3,1,6644.0,0.98
flat,Carpet  Area,Ready To Move,other,2,950.0,2,2,4947.0,0.47
flat,Super built-up  Area,Ready To Move,other,4,2000.0,4,0,6000.0,1.2
house,Plot  Area,Ready To Move,Giri Nagar,3,880.0,3,1,15909.0,1.4
flat,Super built-up  Area,Ready To Move,Sarjapur  Road,4,1863.0,3,2,5582.0,1.04
flat,Super built-up  Area,Ready To Move,Singasandra,2,1010.0,2,1,2970.0,0.3
flat,Super built-up  Area,Ready To Move,Kalena Agrahara,3,1425.0,2,1,4912.0,0.7
flat,Super built-up  Area,Ready To Move,Vijayanagar,3,1450.0,3,0,6897.0,1.0
flat,Super built-up  Area,Ready To Move,Kothanur,3,1847.0,3,2,5685.0,1.05
flat,Super built-up  Area,Ready To Move,AECS Layout,2,1100.0,2,3,4091.0,0.45
flat,Super built-up  Area,20-Dec,Kanakpura Road,1,525.0,1,1,4952.0,0.26
flat,Super built-up  Area,Ready To Move,Mallasandra,3,1665.0,3,2,5706.0,0.95
flat,Super built-up  Area,Ready To Move,Begur,4,1664.0,4,3,3906.0,0.65
flat,Super built-up  Area,Ready To Move,JP Nagar,3,1850.0,3,3,8108.0,1.5
flat,Super built-up  Area,Ready To Move,Panathur,2,1438.0,2,3,6954.0,1.0
flat,Super built-up  Area,Ready To Move,other,3,1560.0,3,3,7372.0,1.15
flat,Super built-up  Area,18-Apr,Yelahanka,2,1350.0,2,1,4148.0,0.56
flat,Super built-up  Area,Ready To Move,Kanakpura Road,3,1550.0,3,3,4323.0,0.67
flat,Super built-up  Area,18-Apr,Malleshpalya,2,1140.0,2,2,4035.0,0.46
house,Plot  Area,Ready To Move,other,5,1200.0,5,2,15000.0,1.8
flat,Super built-up  Area,18-Dec,other,2,850.0,2,2,3176.0,0.27
flat,Super built-up  Area,Ready To Move,Whitefield,2,1280.0,2,2,5859.0,0.75
flat,Built-up  Area,Ready To Move,Munnekollal,2,1170.0,2,2,4444.0,0.52
flat,Super built-up  Area,Ready To Move,other,2,1113.0,2,1,4582.0,0.51
flat,Super built-up  Area,Ready To Move,Hennur Road,2,1385.0,2,1,5993.0,0.83
flat,Super built-up  Area,18-Apr,Electronic City,2,1128.0,2,1,5762.0,0.65
house,Plot  Area,Ready To Move,Marathahalli,2,1200.0,2,2,10667.0,1.28
house,Plot  Area,Ready To Move,other,4,1200.0,4,3,13750.0,1.65
flat,Super built-up  Area,Ready To Move,Rajaji Nagar,3,2390.0,3,2,17364.0,4.15
house,Plot  Area,Ready To Move,Giri Nagar,4,2400.0,4,1,16667.0,4.0
flat,Super built-up  Area,Ready To Move,Haralur Road,3,1464.0,3,2,3825.0,0.56
