property_type,area_type,availability,location,bedroom,area,bath,balcony,price_per_sqft,price,built_up_area
flat,Super built-up  Area,Ready To Move,frazer town,4,4856.0,5,3,8443.0,4.1,4127.599999999999
flat,Built-up  Area,Ready To Move,other,1,400.0,1,0,3500.0,0.14,400.0
flat,Super built-up  Area,Under Construction,hosa road,2,1430.0,2,1,6853.0,0.98,1215.5
flat,Built-up  Area,Ready To Move,narayanapura,5,2400.0,5,2,3542.0,0.85,2400.0
house,Plot  Area,Ready To Move,jigani,3,2400.0,4,1,5417.0,1.3,2400.0
flat,Built-up  Area,Ready To Move,munnekollal,2,1170.0,2,2,5043.0,0.59,1170.0
flat,Carpet  Area,Ready To Move,cv raman nagar,2,1000.0,2,1,3800.0,0.38,1100.0
flat,Super built-up  Area,Ready To Move,yelachenahalli,2,1130.0,2,2,3540.0,0.4,960.5
flat,Built-up  Area,Ready To Move,other,5,3600.0,5,3,3611.0,1.3,3600.0
flat,Super built-up  Area,Under Construction,hosa road,3,1311.0,2,1,6484.0,0.85,1114.35
flat,Super built-up  Area,Ready To Move,uttarahalli,3,1300.0,2,1,3615.0,0.47,1105.0
flat,Super built-up  Area,Ready To Move,ambalipura,2,1303.0,2,2,6140.0,0.8,1107.55
flat,Super built-up  Area,Ready To Move,thanisandra,2,965.0,2,1,5803.0,0.56,820.25
flat,Super built-up  Area,Ready To Move,electronic city,3,1521.0,2,2,3748.0,0.57,1292.85
flat,Super built-up  Area,Ready To Move,kalkere,2,925.0,2,1,5946.0,0.55,786.25
flat,Built-up  Area,Ready To Move,lb shastri nagar,2,1184.0,2,1,5828.0,0.69,1184.0
flat,Super built-up  Area,Ready To Move,chamrajpet,2,1350.0,2,3,13333.0,1.8,1147.5
flat,Built-up  Area,Ready To Move,other,3,1872.0,3,2,8120.0,1.52,1872.0
flat,Super built-up  Area,Ready To Move,other,3,1310.0,2,1,4198.0,0.55,1113.5
flat,Built-up  Area,Ready To Move,thubarahalli,3,2625.0,3,3,6667.0,1.75,2625.0
flat,Super built-up  Area,Under Construction,ananth nagar,2,900.0,2,2,2444.0,0.22,765.0
flat,Built-up  Area,Ready To Move,rachenahalli,3,1756.0,3,2,6264.0,1.1,1756.0
flat,Built-up  Area,Ready To Move,sompura,2,1126.0,2,2,3464.0,0.39,1126.0
flat,Built-up  Area,Ready To Move,somasundara palya,3,2300.0,2,0,3043.0,0.7,2300.0
flat,Super built-up  Area,Ready To Move,anekal,2,1035.0,2,2,3671.0,0.38,879.75
flat,Built-up  Area,Ready To Move,arekere,2,920.0,2,1,4348.0,0.4,920.0
flat,Super built-up  Area,Under Construction,kengeri satellite town,3,1149.0,2,2,2524.0,0.29,976.65
flat,Super built-up  Area,Ready To Move,kasavanhalli,2,1377.0,2,2,5810.0,0.8,1170.45
flat,Super built-up  Area,Ready To Move,other,3,1675.0,3,3,3701.0,0.62,1423.75
flat,Super built-up  Area,Under Construction,sarjapura - attibele road,2,1033.0,2,2,2711.0,0.28,878.05
flat,Super built-up  Area,Ready To Move,sahakara nagar,2,1175.0,2,3,4170.0,0.49,998.75
house,Plot  Area,Ready To Move,judicial layout,4,1500.0,3,2,10800.0,1.62,1500.0
flat,Built-up  Area,Ready To Move,brookefield,2,1142.0,2,2,6130.0,0.7,1142.0
flat,Super built-up  Area,Ready To Move,haralur road,3,1735.0,3,2,5591.0,0.97,1474.75
flat,Super built-up  Area,Ready To Move,cox town,2,1250.0,2,2,7600.0,0.95,1062.5
flat,Super built-up  Area,Under Construction,yeshwanthpur,3,1713.0,3,2,6421.0,1.1,1456.05
flat,Super built-up  Area,Ready To Move,munnekollal,3,1750.0,3,3,4914.0,0.86,1487.5
flat,Super built-up  Area,Ready To Move,jigani,2,920.0,2,2,5000.0,0.46,782.0
flat,Super built-up  Area,Ready To Move,sarjapur  road,3,1186.0,2,2,3373.0,0.4,1008.1
flat,Built-up  Area,Ready To Move,attibele,1,395.0,1,1,2532.0,0.1,395.0
flat,Super built-up  Area,Under Construction,haralur road,3,1810.0,3,2,6188.0,1.12,1538.5
flat,Super built-up  Area,Ready To Move,subramanyapura,2,929.0,2,2,5274.0,0.49,789.65
flat,Super built-up  Area,Ready To Move,frazer town,2,1625.0,2,1,4615.0,0.75,1381.25
flat,Super built-up  Area,Ready To Move,hosa road,2,1365.0,2,1,6740.0,0.92,1160.25
flat,Built-up  Area,Ready To Move,other,3,4510.0,4,3,4435.0,2.0,4510.0
house,Plot  Area,Ready To Move,other,5,1500.0,5,2,14000.0,2.1,1500.0
flat,Super built-up  Area,Ready To Move,brookefield,2,1200.0,2,2,6250.0,0.75,1020.0
flat,Super built-up  Area,Under Construction,other,2,1210.0,2,1,6281.0,0.76,1028.5
flat,Super built-up  Area,Ready To Move,yeshwanthpur,3,1381.0,2,2,5503.0,0.76,1173.85
flat,Super built-up  Area,Ready To Move,kasavanhalli,1,770.0,1,1,5714.0,0.44,654.5
flat,Super built-up  Area,Ready To Move,thanisandra,1,760.0,1,2,6579.0,0.5,646.0
flat,Super built-up  Area,Under Construction,whitefield,2,1277.0,2,1,4777.0,0.61,1085.45
house,Plot  Area,Ready To Move,other,6,2800.0,4,3,3571.0,1.0,2800.0
flat,Super built-up  Area,Under Construction,thanisandra,3,1573.0,3,2,6039.0,0.95,1337.05
flat,Super built-up  Area,Ready To Move,kumaraswami layout,2,1081.0,2,3,5550.0,0.6,918.85
flat,Built-up  Area,Ready To Move,hosur road,5,3600.0,5,3,5000.0,1.8,3600.0
flat,Super built-up  Area,Ready To Move,other,2,1180.0,2,2,5508.0,0.65,1003.0
house,Plot  Area,Ready To Move,rajaji nagar,2,1200.0,2,0,12500.0,1.5,1200.0
flat,Built-up  Area,Ready To Move,other,2,900.0,2,2,12222.0,1.1,900.0
flat,Super built-up  Area,Ready To Move,sarjapur  road,2,1282.0,2,2,5616.0,0.72,1089.7
flat,Super built-up  Area,Ready To Move,whitefield,2,1250.0,2,2,6800.0,0.85,1062.5
flat,Super built-up  Area,Under Construction,banashankari stage iii,3,1650.0,3,2,7152.0,1.18,1402.5
flat,Super built-up  Area,Under Construction,hennur road,2,1165.0,2,1,5751.0,0.67,990.25
flat,Super built-up  Area,Ready To Move,other,3,1450.0,3,3,4483.0,0.65,1232.5
flat,Super built-up  Area,Ready To Move,marathahalli,4,2500.0,5,2,7000.0,1.75,2125.0
flat,Super built-up  Area,Ready To Move,other,2,1134.0,2,1,3527.0,0.4,963.9
flat,Super built-up  Area,Ready To Move,ngr layout,2,1105.0,2,1,4706.0,0.52,939.25
flat,Super built-up  Area,Ready To Move,electronic city,3,1500.0,2,1,4267.0,0.64,1275.0
house,Plot  Area,Ready To Move,kanakpura road,3,1500.0,3,2,6467.0,0.97,1500.0
flat,Super built-up  Area,Ready To Move,hosakerehalli,3,2376.0,3,1,10101.0,2.4,2019.6
flat,Super built-up  Area,Ready To Move,rayasandra,2,1253.0,2,2,4549.0,0.57,1065.05
flat,Super built-up  Area,Ready To Move,rayasandra,3,1458.0,3,2,4115.0,0.6,1239.3
flat,Built-up  Area,Ready To Move,other,2,1007.0,2,2,4767.0,0.48,1007.0
flat,Super built-up  Area,Ready To Move,kumaraswami layout,2,1000.0,2,1,4800.0,0.48,850.0
flat,Super built-up  Area,Under Construction,thanisandra,3,1732.0,3,1,4965.0,0.86,1472.2
flat,Built-up  Area,Ready To Move,other,2,1100.0,2,0,9636.0,1.06,1100.0
flat,Built-up  Area,Under Construction,sarjapur  road,3,2238.0,3,1,6256.0,1.4,2238.0
flat,Super built-up  Area,Ready To Move,basavangudi,3,1850.0,3,1,9081.0,1.68,1572.5
flat,Super built-up  Area,Ready To Move,dairy circle,4,3730.0,6,2,11528.0,4.3,3170.5
flat,Super built-up  Area,Under Construction,hegde nagar,4,3216.0,5,2,9328.0,3.0,2733.6
flat,Super built-up  Area,Ready To Move,kaikondrahalli,3,1645.0,3,2,6079.0,1.0,1398.25
flat,Super built-up  Area,Ready To Move,raja rajeshwari nagar,2,1303.0,2,2,3377.0,0.44,1107.55
flat,Super built-up  Area,Ready To Move,1st phase jp nagar,2,1394.0,2,1,7174.0,1.0,1184.9
flat,Super built-up  Area,Ready To Move,gottigere,3,1500.0,3,2,4200.0,0.63,1275.0
flat,Built-up  Area,Under Construction,electronic city phase ii,3,1400.0,2,1,2857.0,0.4,1400.0
flat,Built-up  Area,Ready To Move,akshaya nagar,3,1662.0,3,2,5174.0,0.86,1662.0
house,Plot  Area,Ready To Move,other,4,2400.0,5,2,16458.0,3.95,2400.0
flat,Super built-up  Area,Ready To Move,mysore road,2,1175.0,2,2,7404.0,0.87,998.75
flat,Built-up  Area,Ready To Move,1st phase jp nagar,1,840.0,2,2,5952.0,0.5,840.0
flat,Super built-up  Area,Ready To Move,marathahalli,3,1950.0,3,2,5897.0,1.15,1657.5
flat,Super built-up  Area,Ready To Move,dasarahalli,3,1901.0,3,2,6260.0,1.19,1615.85
flat,Built-up  Area,Ready To Move,chikkabanavar,5,2400.0,4,0,4042.0,0.97,2400.0
flat,Super built-up  Area,Ready To Move,yelahanka,3,1600.0,2,3,4688.0,0.75,1360.0
flat,Super built-up  Area,Ready To Move,marathahalli,2,1350.0,2,1,6593.0,0.89,1147.5
flat,Built-up  Area,Ready To Move,other,4,2800.0,4,1,7143.0,2.0,2800.0
flat,Super built-up  Area,Ready To Move,yeshwanthpur,1,665.0,1,1,5564.0,0.37,565.25
flat,Super built-up  Area,Ready To Move,hebbal,4,3900.0,4,2,10513.0,4.1,3315.0
house,Plot  Area,Ready To Move,other,2,600.0,3,2,14167.0,0.85,600.0
flat,Super built-up  Area,Ready To Move,thubarahalli,2,1200.0,2,2,6500.0,0.78,1020.0
house,Plot  Area,Ready To Move,other,3,1500.0,3,2,9933.0,1.49,1500.0
flat,Super built-up  Area,Ready To Move,kodigehalli,2,635.0,1,1,4409.0,0.28,539.75
flat,Built-up  Area,Ready To Move,bannerghatta road,2,1220.0,2,1,6557.0,0.8,1220.0
flat,Built-up  Area,Under Construction,other,2,1150.0,2,2,6000.0,0.69,1150.0
flat,Super built-up  Area,Under Construction,hoodi,2,1026.0,2,1,5945.0,0.61,872.1
house,Plot  Area,Ready To Move,yelahanka,2,1633.0,2,1,4409.0,0.72,1633.0
flat,Built-up  Area,Ready To Move,other,3,1430.0,3,2,4895.0,0.7,1430.0
flat,Built-up  Area,Ready To Move,thanisandra,4,1948.0,4,2,6622.0,1.29,1948.0
flat,Super built-up  Area,Ready To Move,electronics city phase 1,2,995.0,2,1,5025.0,0.5,845.75
flat,Super built-up  Area,Ready To Move,akshaya nagar,2,1265.0,2,3,5296.0,0.67,1075.25
flat,Super built-up  Area,Ready To Move,thanisandra,3,1917.0,3,3,6364.0,1.22,1629.45
flat,Super built-up  Area,Ready To Move,thubarahalli,2,1200.0,2,2,6583.0,0.79,1020.0
flat,Super built-up  Area,Ready To Move,other,2,1200.0,2,2,4583.0,0.55,1020.0
flat,Super built-up  Area,Under Construction,tumkur road,3,1586.0,3,1,6305.0,1.0,1348.1
flat,Super built-up  Area,Ready To Move,hormavu,3,1550.0,2,2,3871.0,0.6,1317.5
flat,Super built-up  Area,Ready To Move,kengeri satellite town,2,1050.0,2,2,4095.0,0.43,892.5
flat,Super built-up  Area,Ready To Move,other,3,1945.0,3,2,6941.0,1.35,1653.25
flat,Super built-up  Area,Ready To Move,electronic city,2,1070.0,2,1,4953.0,0.53,909.5
flat,Super built-up  Area,Ready To Move,other,3,1641.0,3,2,4022.0,0.66,1394.85
flat,Super built-up  Area,Under Construction,hennur road,2,1036.0,2,1,5695.0,0.59,880.6
flat,Super built-up  Area,Ready To Move,electronic city,2,1150.0,2,1,3304.0,0.38,977.5
flat,Built-up  Area,Ready To Move,marathahalli,3,1350.0,3,1,5333.0,0.72,1350.0
flat,Super built-up  Area,Ready To Move,jakkur,3,1858.0,3,1,5274.0,0.98,1579.3
flat,Super built-up  Area,Ready To Move,mysore road,2,1155.0,2,1,4416.0,0.51,981.75
flat,Super built-up  Area,Ready To Move,jalahalli,3,1470.0,2,3,6939.0,1.02,1249.5
flat,Built-up  Area,Ready To Move,subramanyapura,2,1200.0,2,2,4333.0,0.52,1200.0
flat,Super built-up  Area,Ready To Move,yeshwanthpur,1,670.0,1,1,5522.0,0.37,569.5
flat,Super built-up  Area,Ready To Move,chandapura,1,410.0,1,1,2439.0,0.1,348.5
house,Plot  Area,Ready To Move,rajaji nagar,2,1314.0,2,0,17123.0,2.25,1314.0
flat,Super built-up  Area,Ready To Move,other,2,1250.0,2,2,7200.0,0.9,1062.5
flat,Built-up  Area,Ready To Move,hosur road,3,1590.0,2,2,7862.0,1.25,1590.0
flat,Super built-up  Area,Ready To Move,channasandra,2,1070.0,2,1,3551.0,0.38,909.5
flat,Built-up  Area,Ready To Move,other,3,1650.0,3,2,8485.0,1.4,1650.0
flat,Super built-up  Area,Ready To Move,kodichikkanahalli,3,1190.0,2,2,4790.0,0.57,1011.5
flat,Built-up  Area,Under Construction,electronic city,2,1070.0,2,1,5327.0,0.57,1070.0
flat,Super built-up  Area,Under Construction,thanisandra,2,1250.0,1,1,4320.0,0.54,1062.5
flat,Super built-up  Area,Under Construction,old airport road,4,2690.0,4,3,7398.0,1.99,2286.5
flat,Super built-up  Area,Ready To Move,other,3,1525.0,3,3,4262.0,0.65,1296.25
flat,Super built-up  Area,Ready To Move,cunningham road,3,2700.0,3,1,18556.0,5.01,2295.0
flat,Super built-up  Area,Under Construction,munnekollal,2,1030.0,2,1,4854.0,0.5,875.5
flat,Super built-up  Area,Ready To Move,other,3,2000.0,3,2,5250.0,1.05,1700.0
flat,Super built-up  Area,Ready To Move,other,3,1360.0,2,1,4779.0,0.65,1156.0
flat,Built-up  Area,Ready To Move,other,2,985.0,2,1,4569.0,0.45,985.0
flat,Super built-up  Area,Ready To Move,bhoganhalli,3,1410.0,3,1,4610.0,0.65,1198.5
flat,Super built-up  Area,Ready To Move,abbigere,2,985.0,2,1,4061.0,0.4,837.25
house,Plot  Area,Ready To Move,jalahalli east,4,1200.0,4,1,6667.0,0.8,1200.0
flat,Super built-up  Area,Ready To Move,sarjapur  road,3,2145.0,3,3,8392.0,1.8,1823.25
flat,Super built-up  Area,Ready To Move,chamrajpet,9,7707.0,9,1,3841.0,2.96,6550.95
flat,Built-up  Area,Ready To Move,electronics city phase 1,2,865.0,2,0,4624.0,0.4,865.0
house,Plot  Area,Ready To Move,other,2,800.0,1,0,5625.0,0.45,800.0
flat,Super built-up  Area,Under Construction,rajaji nagar,2,1222.0,2,0,9165.0,1.12,1038.7
flat,Super built-up  Area,Under Construction,bhoganhalli,2,1205.0,2,2,5311.0,0.64,1024.25
flat,Super built-up  Area,Ready To Move,haralur road,3,1730.0,3,1,5491.0,0.95,1470.5
house,Plot  Area,Ready To Move,indira nagar,5,1800.0,5,2,19444.0,3.5,1800.0
flat,Super built-up  Area,Under Construction,other,2,1169.0,2,1,4277.0,0.5,993.65
flat,Super built-up  Area,Ready To Move,devanahalli,2,1080.0,2,1,4074.0,0.44,918.0
flat,Super built-up  Area,Ready To Move,nagappa reddy layout,2,1209.0,2,1,4136.0,0.5,1027.65
flat,Super built-up  Area,Ready To Move,sarjapur  road,2,1311.0,2,1,5950.0,0.78,1114.35
flat,Super built-up  Area,Ready To Move,other,3,1520.0,3,3,5263.0,0.8,1292.0
flat,Super built-up  Area,Ready To Move,other,2,1080.0,2,1,4167.0,0.45,918.0
flat,Super built-up  Area,Ready To Move,rajaji nagar,4,3436.0,6,3,14552.0,5.0,2920.6
flat,Built-up  Area,Under Construction,other,4,4046.0,4,0,10999.0,4.45,4046.0
flat,Super built-up  Area,Ready To Move,thigalarapalya,3,1830.0,3,2,7268.0,1.33,1555.5
flat,Super built-up  Area,Ready To Move,hennur road,3,1445.0,3,1,6021.0,0.87,1228.25
flat,Built-up  Area,Ready To Move,domlur,3,1650.0,3,1,10909.0,1.8,1650.0
house,Plot  Area,Ready To Move,electronic city phase ii,2,2400.0,3,1,6250.0,1.5,2400.0
flat,Built-up  Area,Ready To Move,banashankari,2,1125.0,2,1,5600.0,0.63,1125.0
flat,Built-up  Area,Ready To Move,other,2,935.0,2,0,4278.0,0.4,935.0
flat,Super built-up  Area,Ready To Move,other,2,1311.0,2,2,3661.0,0.48,1114.35
flat,Super built-up  Area,Ready To Move,whitefield,3,2025.0,4,2,5679.0,1.15,1721.25
flat,Super built-up  Area,Ready To Move,sector 7 hsr layout,2,1163.0,2,2,8512.0,0.99,988.55
flat,Super built-up  Area,Ready To Move,kanakpura road,3,1843.0,3,2,4612.0,0.85,1566.55
flat,Super built-up  Area,Ready To Move,jigani,2,924.0,2,2,7035.0,0.65,785.4
flat,Super built-up  Area,Under Construction,old madras road,2,1171.0,2,2,6405.0,0.75,995.35
flat,Super built-up  Area,Ready To Move,kothanur,2,1075.0,2,2,4930.0,0.53,913.75
flat,Built-up  Area,Ready To Move,other,3,1460.0,2,3,5000.0,0.73,1460.0
flat,Built-up  Area,Ready To Move,seegehalli,4,3000.0,5,3,5000.0,1.5,3000.0
flat,Super built-up  Area,Ready To Move,banashankari,3,1200.0,2,2,3500.0,0.42,1020.0
flat,Built-up  Area,Ready To Move,amruthahalli,2,924.0,2,1,4870.0,0.45,924.0
flat,Super built-up  Area,Ready To Move,other,3,1355.0,3,1,4502.0,0.61,1151.75
flat,Super built-up  Area,Ready To Move,other,3,1400.0,3,3,4929.0,0.69,1190.0
flat,Built-up  Area,Ready To Move,yelahanka,3,2195.0,4,2,5786.0,1.27,2195.0
flat,Built-up  Area,Ready To Move,yeshwanthpur,6,2500.0,5,2,7400.0,1.85,2500.0
flat,Super built-up  Area,Ready To Move,ramamurthy nagar,2,1200.0,2,3,3500.0,0.42,1020.0
flat,Super built-up  Area,Ready To Move,nagasandra,3,1650.0,3,2,5758.0,0.95,1402.5
flat,Super built-up  Area,Ready To Move,hsr layout,2,1145.0,2,2,4017.0,0.46,973.25
flat,Super built-up  Area,Under Construction,chandapura,2,876.0,2,2,3196.0,0.28,744.6
flat,Super built-up  Area,Under Construction,jp nagar,2,1300.0,2,1,7000.0,0.91,1105.0
house,Plot  Area,Ready To Move,other,4,1200.0,4,2,17083.0,2.05,1200.0
house,Plot  Area,Ready To Move,whitefield,4,2064.0,5,2,10901.0,2.25,2064.0
flat,Super built-up  Area,Under Construction,horamavu agara,2,1169.0,2,1,5475.0,0.64,993.65
flat,Super built-up  Area,Ready To Move,hegde nagar,3,1584.0,3,1,6566.0,1.04,1346.4
flat,Super built-up  Area,Ready To Move,shivaji nagar,2,1554.0,3,3,8366.0,1.3,1320.9
flat,Built-up  Area,Ready To Move,kaggadasapura,5,2400.0,4,3,5417.0,1.3,2400.0
flat,Super built-up  Area,Ready To Move,jalahalli,3,1405.0,2,1,6050.0,0.85,1194.25
flat,Super built-up  Area,Ready To Move,kodihalli,4,3197.0,5,2,10479.0,3.35,2717.45
house,Plot  Area,Ready To Move,other,1,812.0,1,1,3202.0,0.26,812.0
flat,Super built-up  Area,Ready To Move,other,3,1310.0,2,3,3817.0,0.5,1113.5
flat,Super built-up  Area,Ready To Move,channasandra,2,1093.0,2,1,3111.0,0.34,929.05
flat,Built-up  Area,Under Construction,electronic city phase ii,2,1200.0,2,1,2917.0,0.35,1200.0
flat,Built-up  Area,Ready To Move,sompura,2,825.0,2,1,3879.0,0.32,825.0
flat,Super built-up  Area,Ready To Move,bannerghatta road,3,1450.0,2,2,6000.0,0.87,1232.5
flat,Built-up  Area,Ready To Move,other,4,3420.0,3,2,11988.0,4.1,3420.0
flat,Super built-up  Area,Ready To Move,kasturi nagar,3,1565.0,3,2,5623.0,0.88,1330.25
flat,Super built-up  Area,Ready To Move,thanisandra,2,1114.0,2,1,3501.0,0.39,946.9
house,Plot  Area,Ready To Move,other,2,1200.0,1,0,3500.0,0.42,1200.0
flat,Built-up  Area,Ready To Move,hebbal,2,1299.0,2,1,7698.0,1.0,1299.0
flat,Super built-up  Area,Ready To Move,gottigere,3,1435.0,2,3,4321.0,0.62,1219.75
flat,Super built-up  Area,Ready To Move,gottigere,3,1304.0,3,3,6135.0,0.8,1108.4
flat,Super built-up  Area,Ready To Move,other,3,2100.0,3,2,11429.0,2.4,1785.0
flat,Super built-up  Area,Under Construction,gunjur palya,2,849.0,2,2,2945.0,0.25,721.65
flat,Built-up  Area,Ready To Move,sonnenahalli,3,1310.0,2,0,3511.0,0.46,1310.0
